iter	Logloss
0	0.6322366871
1	0.5805661076
2	0.5467822816
3	0.5135917989
4	0.4880948886
5	0.4673341462
6	0.4403245133
7	0.4270061591
8	0.4150541044
9	0.396301903
10	0.3833162803
11	0.3732315983
12	0.363670719
13	0.3561727207
14	0.3482726191
15	0.3398138802
16	0.3321927596
17	0.3281356574
18	0.3248280073
19	0.3159799369
20	0.3064157389
21	0.3012659472
22	0.2932725608
23	0.2881352051
24	0.286324916
25	0.2821118602
26	0.2798863
27	0.273459368
28	0.2693720188
29	0.2661681586
30	0.2643592384
31	0.2609440015
32	0.2585200287
33	0.2571802085
34	0.2553474696
35	0.2534329674
36	0.2508213134
37	0.249400681
38	0.2465530521
39	0.2459490714
40	0.2443730246
41	0.2426805018
42	0.2406839072
43	0.2391640265
44	0.2373803917
45	0.2357834144
46	0.2351500681
47	0.2333137179
48	0.2316258467
49	0.2300685198
50	0.2287143002
51	0.2272215275
52	0.2262197638
53	0.2251975974
54	0.2241337931
55	0.2235234259
56	0.2230708181
57	0.2225562431
58	0.2216034626
59	0.2213088423
60	0.2203688531
61	0.2191875452
62	0.2189953125
63	0.2186776953
64	0.2182730275
65	0.2180230468
66	0.2178002443
67	0.2172322348
68	0.2166561902
69	0.2162790628
70	0.2154249057
71	0.2152334512
72	0.2150631632
73	0.2147299296
74	0.2145390513
75	0.2143574177
76	0.2141946225
77	0.2140429591
78	0.2138519214
79	0.21305257
80	0.2125275191
81	0.2123853886
82	0.2122505371
83	0.2121427834
84	0.2118420127
85	0.2113951115
86	0.2112503212
87	0.2110897379
88	0.2105591628
89	0.2101703506
90	0.2100651147
91	0.2099906202
92	0.2098758628
93	0.209320623
94	0.2091362111
95	0.2090197955
96	0.2086850922
97	0.2085487458
98	0.2084238207
99	0.2076720459
100	0.2075653142
101	0.2073427829
102	0.2072198484
103	0.2065498474
104	0.2061913506
105	0.2060886731
106	0.205876485
107	0.2056999997
108	0.2055777357
109	0.2053264723
110	0.2052321692
111	0.2049846839
112	0.2048525766
113	0.2045988563
114	0.2043858643
115	0.2042920578
116	0.2042084987
117	0.2041070378
118	0.2040411497
119	0.2039652773
120	0.20360994
121	0.2035023228
122	0.2032998249
123	0.203225285
124	0.2030910677
125	0.202998738
126	0.2029322587
127	0.2025762134
128	0.2024774792
129	0.202379917
130	0.2022872354
131	0.202155472
132	0.2020698209
133	0.2017305329
134	0.2016581926
135	0.2013997825
136	0.2012023126
137	0.2011258886
138	0.2010214256
139	0.2008701748
140	0.2007844726
141	0.2005911796
142	0.2005215573
143	0.2003336962
144	0.2002499057
145	0.2001640826
146	0.1999254709
147	0.1998131136
148	0.1997317568
149	0.1996338229
150	0.1995557873
151	0.199476598
152	0.1993833344
153	0.1992842877
154	0.1990060726
155	0.1989159122
156	0.1988349479
157	0.1984353645
158	0.1982579603
159	0.1981935521
160	0.1979532971
161	0.1978686661
162	0.197766644
163	0.1976795947
164	0.1976185538
165	0.1973016606
166	0.197198104
167	0.1971470245
168	0.1970807295
169	0.1970034718
170	0.1969367842
171	0.1968591484
172	0.1966900723
173	0.1965227368
174	0.1964576497
175	0.1963968265
176	0.1963310461
177	0.1962041541
178	0.1959200343
179	0.1958448983
180	0.1957431729
181	0.1955355434
182	0.1954823087
183	0.1953786516
184	0.1953159537
185	0.1950327838
186	0.1949626892
187	0.1949084432
188	0.1948336327
189	0.194763589
190	0.194715406
191	0.1946420605
192	0.1945818924
193	0.1945374748
194	0.1944462918
195	0.1943868534
196	0.1941149464
197	0.1939873635
198	0.193796775
199	0.1937243294
200	0.1936382343
201	0.1935705451
202	0.1934926485
203	0.1934327179
204	0.1930367937
205	0.1929696786
206	0.1928814136
207	0.1927157872
208	0.1925196429
209	0.1921631111
210	0.1921066285
211	0.1920567453
212	0.1919992268
213	0.1919249883
214	0.1917682733
215	0.1917110917
216	0.191481926
217	0.1913862724
218	0.1912487754
219	0.1911356665
220	0.1910686729
221	0.1908941314
222	0.1908154337
223	0.1906271211
224	0.1904546795
225	0.1903178638
226	0.1901479903
227	0.1900008427
228	0.1899418869
229	0.1898842087
230	0.1898329064
231	0.1897822983
232	0.1896460349
233	0.1895738596
234	0.1894584273
235	0.1892606202
236	0.1892150194
237	0.1890503
238	0.1888794098
239	0.1887899933
240	0.1887182052
241	0.1886764021
242	0.1886034035
243	0.1883806681
244	0.1882245212
245	0.1881465771
246	0.1880573528
247	0.1879839731
248	0.1879139624
249	0.1878623463
250	0.1878036075
251	0.1877586438
252	0.1875830196
253	0.1874560595
254	0.1873863611
255	0.1872126911
256	0.187159192
257	0.1870670587
258	0.186912868
259	0.1868608052
260	0.1868065839
261	0.186775044
262	0.1866958159
263	0.186619742
264	0.1865443086
265	0.1863906989
266	0.1863354207
267	0.1861798214
268	0.1861041618
269	0.1860274782
270	0.1859295812
271	0.1857303194
272	0.1856348495
273	0.1855908217
274	0.1855291677
275	0.1854636043
276	0.1853844469
277	0.1853230595
278	0.1851457882
279	0.1850675973
280	0.1850052112
281	0.1849267746
282	0.1848153484
283	0.1847480416
284	0.1846704579
285	0.1846012391
286	0.1845492367
287	0.1844857665
288	0.184438024
289	0.1843845235
290	0.1843383053
291	0.1842730295
292	0.1841448439
293	0.1840800439
294	0.1840167555
295	0.1839661352
296	0.1839087356
297	0.1838516868
298	0.1837986643
299	0.1836228181
300	0.1835419392
301	0.18348173
302	0.1833728191
303	0.1832996181
304	0.1832580356
305	0.1831234832
306	0.1830584422
307	0.1828916359
308	0.182748152
309	0.1826403554
310	0.182578773
311	0.182530876
312	0.1824620001
313	0.182413257
314	0.1823606727
315	0.1822985698
316	0.1822291671
317	0.1821838733
318	0.1821169856
319	0.1820552215
320	0.1819791936
321	0.1819266442
322	0.181868464
323	0.1818233777
324	0.1817655
325	0.181712433
326	0.1816489259
327	0.1815131474
328	0.1813929099
329	0.1812063833
330	0.1811617853
331	0.181084831
332	0.1810363833
333	0.1809843945
334	0.1809308335
335	0.1807912637
336	0.1807136665
337	0.1805697762
338	0.180521031
339	0.1804542965
340	0.1803504148
341	0.180266741
342	0.1802184263
343	0.1801595567
344	0.1801280924
345	0.1800763207
346	0.179970836
347	0.1799030683
348	0.179812265
349	0.1797571132
350	0.1797039924
351	0.1796438272
352	0.1795817634
353	0.1795376532
354	0.1794235246
355	0.1793603223
356	0.1792848882
357	0.1792207514
358	0.1791715147
359	0.1791272423
360	0.1790640161
361	0.1789884412
362	0.1789171595
363	0.1787891132
364	0.1787465832
365	0.1786954793
366	0.1786349681
367	0.1785825705
368	0.1785410333
369	0.1784507106
370	0.1783739629
371	0.1782902335
372	0.1781873698
373	0.1781337386
374	0.1780914742
375	0.1780143208
376	0.177981565
377	0.1779274798
378	0.1778655796
379	0.1778102183
380	0.1776779341
381	0.1776357065
382	0.177592012
383	0.1775455023
384	0.1774643569
385	0.1774223627
386	0.1773846421
387	0.1773166032
388	0.1772726038
389	0.1772135013
390	0.1771593433
391	0.1771021739
392	0.17705862
393	0.1769858516
394	0.1769200669
395	0.1768804428
396	0.1768229611
397	0.1767876747
398	0.1767305937
399	0.1766699231
400	0.1766319523
401	0.1765849815
402	0.1765520295
403	0.176485178
404	0.1764012167
405	0.1763655252
406	0.1762700822
407	0.176225262
408	0.1761898942
409	0.1761514651
410	0.1760829036
411	0.1760068442
412	0.1759746155
413	0.1758875231
414	0.1758313395
415	0.1757586976
416	0.1756982111
417	0.1756391245
418	0.1756007614
419	0.1755632854
420	0.1755069817
421	0.1754722099
422	0.1754230085
423	0.1753729272
424	0.1753427715
425	0.1752906839
426	0.1752572693
427	0.1751575065
428	0.1750727958
429	0.1750119238
430	0.1749668281
431	0.1749186109
432	0.1748540091
433	0.1747970061
434	0.1747360608
435	0.1746685459
436	0.1745993844
437	0.174554533
438	0.1744870102
439	0.1744286091
440	0.1743534644
441	0.174307517
442	0.1742369024
443	0.1741932714
444	0.1741297958
445	0.1740774405
446	0.1740147567
447	0.1739712628
448	0.1739430686
449	0.1739072829
450	0.1738488846
451	0.1737991885
452	0.1737369252
453	0.1736472582
454	0.173611962
455	0.1735422072
456	0.1735107742
457	0.1734539128
458	0.1733976022
459	0.1733612569
460	0.1733293421
461	0.1732273297
462	0.1731471873
463	0.1731021459
464	0.1730469364
465	0.1730052106
466	0.1728842198
467	0.1728486209
468	0.1728042672
469	0.172747801
470	0.1727010496
471	0.1726720453
472	0.1726349324
473	0.1725812884
474	0.1725435067
475	0.1724912776
476	0.1724329239
477	0.1723934049
478	0.1723293496
479	0.1722709073
480	0.1722194494
481	0.1721662179
482	0.1720712214
483	0.1720054264
484	0.1719793884
485	0.1719401572
486	0.1718780004
487	0.1718247724
488	0.1717804518
489	0.1717325007
490	0.171686247
491	0.1716387066
492	0.1715690644
493	0.1715183688
494	0.1714450906
495	0.171405461
496	0.1713740061
497	0.1713297635
498	0.1712857617
499	0.1712404672
500	0.1711855647
501	0.1711527919
502	0.1710796559
503	0.1710494656
504	0.171011627
505	0.1709457003
506	0.1708961571
507	0.1708579089
508	0.1708142559
509	0.1707755471
510	0.1707105029
511	0.1706589117
512	0.170630592
513	0.1705843099
514	0.1705338621
515	0.170494976
516	0.1704659098
517	0.1704098559
518	0.1703578434
519	0.170283138
520	0.1702413193
521	0.1702023101
522	0.1701469528
523	0.170063271
524	0.1700130069
525	0.1699603531
526	0.1698989851
527	0.1698367862
528	0.169774473
529	0.1697280751
530	0.1696938348
531	0.1696411174
532	0.1696105763
533	0.1695618825
534	0.1695236604
535	0.1694870442
536	0.169429396
537	0.1693734761
538	0.1693436242
539	0.1692916852
540	0.1692457696
541	0.1692220756
542	0.1691930321
543	0.1691634045
544	0.169103116
545	0.1690524645
546	0.1690087857
547	0.1689605813
548	0.1689256076
549	0.1688701019
550	0.1688150634
551	0.1687886018
552	0.1687458854
553	0.168711968
554	0.1686593588
555	0.1686123404
556	0.1685596394
557	0.1685160554
558	0.1684951244
559	0.1684478985
560	0.1684075865
561	0.1683698611
562	0.1683130411
563	0.1682568088
564	0.1682379713
565	0.1681858818
566	0.1681561323
567	0.1681181772
568	0.1680693608
569	0.168018618
570	0.1679835578
571	0.167934481
572	0.1678898379
573	0.1678440899
574	0.1678150183
575	0.1677704142
576	0.1677240343
577	0.1676842027
578	0.1676291189
579	0.167575675
580	0.1675512489
581	0.1675091653
582	0.1674733781
583	0.1674103849
584	0.1673784974
585	0.1673518657
586	0.1673109703
587	0.1672619977
588	0.1672281922
589	0.1671807945
590	0.1671258138
591	0.1670970591
592	0.1670389589
593	0.1670049293
594	0.1669778433
595	0.1669346502
596	0.1668829232
597	0.1668245416
598	0.1667914028
599	0.166742289
600	0.166700222
601	0.1666618625
602	0.1666195781
603	0.1665863293
604	0.1665461552
605	0.1665159476
606	0.1664424291
607	0.1663333764
608	0.1662817848
609	0.1662198439
