iter	Passed	Remaining
0	8	8687
1	15	7983
2	23	7869
3	31	7758
4	39	7764
5	45	7507
6	53	7597
7	61	7580
8	68	7524
9	76	7608
10	85	7662
11	91	7512
12	98	7500
13	107	7555
14	116	7655
15	125	7696
16	134	7771
17	140	7660
18	149	7729
19	158	7761
20	168	7840
21	177	7870
22	186	7914
23	196	7971
24	206	8048
25	217	8131
26	226	8170
27	238	8267
28	248	8333
29	258	8365
30	269	8423
31	280	8480
32	292	8557
33	304	8653
34	317	8740
35	330	8842
36	342	8919
37	354	8974
38	366	9028
39	378	9087
40	390	9122
41	398	9086
42	409	9119
43	421	9165
44	433	9209
45	446	9251
46	457	9273
47	469	9306
48	480	9327
49	491	9342
50	504	9383
51	516	9414
52	527	9427
53	538	9433
54	549	9446
55	560	9454
56	571	9455
57	583	9474
58	591	9430
59	602	9440
60	613	9444
61	625	9463
62	636	9460
63	648	9478
64	659	9490
65	671	9500
66	683	9514
67	695	9525
68	705	9515
69	716	9521
70	728	9529
71	739	9526
72	750	9528
73	762	9541
74	773	9545
75	785	9550
76	797	9559
77	808	9558
78	820	9561
79	831	9559
80	842	9560
81	854	9561
82	864	9556
83	876	9558
84	886	9547
85	898	9547
86	910	9552
87	921	9554
88	933	9560
89	945	9564
90	957	9564
91	968	9559
92	979	9557
93	991	9558
94	1003	9560
95	1014	9555
96	1026	9555
97	1038	9557
98	1049	9555
99	1061	9553
100	1072	9546
101	1083	9537
102	1094	9532
103	1105	9525
104	1116	9514
105	1127	9509
106	1138	9504
107	1149	9497
108	1160	9489
109	1172	9484
110	1183	9478
111	1194	9472
112	1205	9461
113	1216	9457
114	1228	9455
115	1240	9456
116	1252	9455
117	1263	9446
118	1276	9449
119	1287	9444
120	1299	9439
121	1310	9430
122	1322	9429
123	1334	9430
124	1346	9422
125	1358	9420
126	1369	9413
127	1379	9400
128	1391	9394
129	1402	9388
130	1414	9386
131	1425	9375
132	1438	9374
133	1450	9371
134	1462	9367
135	1475	9373
136	1487	9370
137	1499	9365
138	1509	9353
139	1521	9345
140	1532	9339
141	1543	9329
142	1556	9326
143	1568	9323
144	1580	9320
145	1591	9311
146	1604	9309
147	1616	9304
148	1627	9297
149	1640	9293
150	1652	9292
151	1664	9285
152	1675	9277
153	1687	9270
154	1699	9263
155	1711	9257
156	1722	9247
157	1734	9240
158	1745	9231
159	1756	9220
160	1768	9213
161	1779	9206
162	1791	9198
163	1802	9190
164	1814	9183
165	1826	9175
166	1838	9170
167	1850	9163
168	1861	9153
169	1872	9143
170	1884	9135
171	1895	9125
172	1907	9116
173	1918	9108
174	1930	9102
175	1942	9094
176	1953	9084
177	1965	9075
178	1973	9052
179	1984	9042
180	1996	9034
181	2008	9025
182	2019	9013
183	2030	9004
184	2042	8997
185	2053	8988
186	2065	8980
187	2077	8973
188	2090	8968
189	2102	8961
190	2113	8952
191	2121	8928
192	2133	8919
193	2145	8912
194	2156	8902
195	2168	8894
196	2179	8885
197	2190	8873
198	2201	8861
199	2213	8852
200	2225	8846
201	2237	8839
202	2248	8829
203	2260	8822
204	2273	8816
205	2284	8806
206	2296	8796
207	2307	8786
208	2319	8776
209	2330	8767
210	2342	8760
211	2353	8749
212	2365	8738
213	2376	8729
214	2388	8720
215	2399	8709
216	2410	8698
217	2422	8688
218	2433	8678
219	2444	8667
220	2455	8656
221	2467	8647
222	2479	8637
223	2491	8629
224	2503	8621
225	2514	8613
226	2526	8604
227	2537	8593
228	2549	8584
229	2560	8572
230	2572	8563
231	2583	8553
232	2595	8542
233	2606	8533
234	2618	8523
235	2628	8510
236	2639	8497
237	2650	8485
238	2661	8473
239	2672	8462
240	2683	8450
241	2693	8437
242	2705	8426
243	2716	8416
244	2727	8405
245	2739	8395
246	2750	8383
247	2761	8372
248	2772	8360
249	2783	8349
250	2793	8337
251	2804	8324
252	2816	8315
253	2827	8303
254	2838	8291
255	2849	8280
256	2859	8267
257	2871	8257
258	2882	8246
259	2892	8233
260	2903	8221
261	2915	8211
262	2926	8200
263	2937	8190
264	2948	8179
265	2959	8167
266	2971	8156
267	2983	8148
268	2995	8139
269	3006	8128
270	3018	8121
271	3029	8109
272	3041	8100
273	3053	8089
274	3064	8079
275	3076	8069
276	3087	8059
277	3099	8049
278	3110	8039
279	3122	8028
280	3134	8019
281	3145	8008
282	3156	7998
283	3167	7985
284	3178	7975
285	3190	7963
286	3200	7952
287	3212	7941
288	3223	7931
289	3235	7920
290	3246	7910
291	3257	7897
292	3267	7885
293	3279	7874
294	3289	7861
295	3300	7849
296	3311	7838
297	3322	7825
298	3333	7814
299	3344	7804
300	3356	7795
301	3367	7782
302	3378	7772
303	3390	7762
304	3401	7750
305	3413	7740
306	3424	7730
307	3436	7720
308	3447	7709
309	3459	7699
310	3470	7689
311	3481	7677
312	3493	7667
313	3504	7657
314	3515	7645
315	3527	7636
316	3539	7626
317	3550	7615
318	3562	7605
319	3573	7594
320	3585	7584
321	3596	7572
322	3607	7562
323	3619	7551
324	3631	7541
325	3642	7530
326	3653	7519
327	3665	7509
328	3676	7498
329	3688	7488
330	3699	7476
331	3710	7464
332	3721	7454
333	3733	7443
334	3743	7431
335	3755	7421
336	3767	7411
337	3778	7399
338	3790	7390
339	3801	7379
340	3813	7369
341	3824	7358
342	3835	7347
343	3846	7335
344	3858	7325
345	3869	7314
346	3881	7303
347	3892	7292
348	3904	7282
349	3915	7272
350	3927	7261
351	3939	7251
352	3950	7240
353	3961	7228
354	3972	7218
355	3984	7208
356	3996	7197
357	4006	7185
358	4018	7174
359	4029	7163
360	4040	7151
361	4051	7139
362	4062	7129
363	4073	7117
364	4085	7106
365	4096	7096
366	4107	7085
367	4119	7074
368	4130	7063
369	4141	7052
370	4153	7042
371	4164	7030
372	4175	7018
373	4186	7007
374	4197	6996
375	4208	6984
376	4220	6973
377	4231	6962
378	4242	6951
379	4254	6941
380	4266	6931
381	4278	6921
382	4289	6909
383	4300	6899
384	4312	6888
385	4323	6876
386	4334	6865
387	4345	6854
388	4356	6842
389	4368	6832
390	4381	6823
391	4392	6813
392	4404	6803
393	4416	6792
394	4428	6782
395	4439	6771
396	4450	6759
397	4461	6748
398	4472	6737
399	4484	6726
400	4496	6716
401	4507	6705
402	4518	6694
403	4530	6683
404	4542	6672
405	4553	6661
406	4565	6651
407	4576	6640
408	4587	6629
409	4599	6619
410	4611	6608
411	4622	6597
412	4634	6587
413	4661	6598
414	4675	6590
415	4687	6580
416	4700	6571
417	4712	6561
418	4724	6550
419	4736	6540
420	4748	6530
421	4760	6520
422	4772	6509
423	4782	6497
424	4793	6485
425	4804	6474
426	4815	6462
427	4826	6450
428	4838	6440
429	4849	6428
430	4860	6417
431	4871	6405
432	4882	6393
433	4893	6382
434	4904	6370
435	4915	6359
436	4927	6347
437	4938	6336
438	4949	6324
439	4959	6312
440	4971	6301
441	4982	6290
442	4993	6278
443	5005	6267
444	5018	6258
445	5029	6247
446	5041	6237
447	5052	6225
448	5064	6214
449	5076	6204
450	5087	6193
451	5099	6182
452	5110	6170
453	5121	6159
454	5133	6148
455	5144	6137
456	5155	6125
457	5167	6114
458	5178	6103
459	5190	6093
460	5202	6082
461	5214	6072
462	5225	6060
463	5236	6049
464	5249	6039
465	5260	6028
466	5271	6017
467	5283	6006
468	5295	5995
469	5306	5984
470	5318	5972
471	5329	5961
472	5340	5950
473	5352	5939
474	5363	5927
475	5374	5916
476	5386	5905
477	5398	5895
478	5410	5884
479	5421	5873
480	5434	5863
481	5445	5852
482	5457	5841
483	5468	5829
484	5479	5818
485	5491	5808
486	5503	5797
